Position,Total_Power
5.7,0.01
5.705,0.06
5.71,0.05
5.715,0.06
5.720000000000001,0.06
5.7250000000000005,0.06
5.73,0.03
5.735,0.05
5.74,0.08
5.745,0.05
5.75,0.07
5.755,0.08
5.760000000000001,0.03
5.765000000000001,0.08
5.7700000000000005,0.06
5.775,0.14
5.78,0.07
5.785,0.11
5.79,0.05
5.795,0.05
5.800000000000001,0.07
5.805000000000001,0.05
5.8100000000000005,0.11
5.815,0.06
5.82,0.1
5.825,0.06
5.83,0.06
