Position,Total Power
-0.18,1.8
-0.179,2.08
-0.178,2.56
-0.177,1.8
-0.176,1.76
-0.175,2.64
-0.174,2.64
-0.173,2.32
-0.172,2.8
-0.171,2.6
-0.17,2.6
-0.169,2.56
-0.168,3.0
-0.167,3.48
-0.166,3.84
-0.165,3.64
-0.164,2.52
-0.163,3.24
-0.162,3.24
-0.161,4.2
